# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,-88.85306090304354,-89.02897806892084,0.005978951531927382,167.25340465799675,0.0,0.0
 0.07435789485413313,0.0069113706589229,0.09294736856766643,1.2500000000000002,-88.85306090304354,-89.02777003656493,0.005978951531927382,167.25340465799675,0.0,0.0
 0.10489384890039179,0.013753399421422782,0.2240646796931562,4.293866532771868,-88.85070516003577,-89.02656200420901,0.0060357484935898405,165.67953437126022,0.07714653369619486,2.5264163542860407
 0.12814554222708818,0.02052659999084306,0.2912992389093502,2.891598399803372,-88.84835093124912,-89.02535397185311,0.006091717125076331,164.15732698478996,0.10124977796579858,1.0366231796945995
 0.1475980652180842,0.027231486070152303,0.34467950930646557,2.744130950099557,-88.84599880444352,-89.0241459394972,0.006146768485337947,162.68710988307546,0.12091628457073715,1.0110003012998166
 0.16460515511231882,0.03386857136193819,0.3902540254130039,2.6797362976242045,-88.84364939069188,-89.02293790714128,0.006200792182022973,161.26971694022419,0.13814319594079175,1.0129252845246903
 0.1798629913426421,0.04043836956840421,0.4305851830687016,2.6433078089764717,-88.84130332507651,-89.02172987478538,0.006253678056804214,159.90589712432768,0.15376135776734412,1.0236157729569135
 0.19378626244677413,0.04694139439136255,0.46706156723677056,2.6198142588234057,-88.83896126749295,-89.02052184242946,0.006305308373769474,158.59652545465823,0.1682117345875918,1.0378578936065694
 0.20664589912646267,0.05337815953223026,0.5005402019665466,2.6033888486643377,-88.83662390344463,-89.01931381007356,0.006355565561475339,157.34240962937477,0.1817597266974406,1.053528373103067
 0.21863060845549265,0.0597491786920237,0.5315956344774445,2.5912545442945256,-88.8342919447357,-89.01810577771765,0.006404315541158766,156.1447111050785,0.1945778278727903,1.0695379273238637
 0.22987816872657377,0.06605496557135394,0.5606359714775839,2.5819232171447655,-88.83196613037843,-89.01689774536173,0.0064514148137936244,155.00475924473537,0.20678389812665945,1.0852193684396139
 0.24049288367088345,0.0722960338704214,0.5879638154968216,2.5745245315219294,-88.82964722729533,-89.01568971300583,0.006496732015698331,153.9235414949635,0.21846117349874197,1.1001025871488401
 0.2505560173518282,0.0784728972890121,0.6138111262783913,2.5685150968940578,-88.82733603133659,-89.01448168064992,0.006540104115655496,152.9027645915042,0.22966960710628745,1.1138114590258728
 0.2601323809547608,0.08458606952649109,0.6383604978832371,2.563537958952178,-88.82503336792576,-89.013273648294,0.006581379728080534,151.9438235319163,0.24045279672973793,1.1260213240178458
 0.2692746765394775,0.09063606428180036,0.661758821867797,2.5593488820986283,-88.82274009315586,-89.0120656159381,0.006620382643149191,151.0486710363797,0.25084233479790463,1.1364255259406615
 0.27802646673070774,0.09662339525345175,0.6841264290877324,2.5557750735785354,-88.82045709440494,-89.0108575835822,0.006656938685750943,150.21919942577838,0.2608607726010694,1.1447301162685313
 0.2864242673231791,0.10254857613952502,0.7055634175673574,2.5526908198848326,-88.81818529157884,-89.00964955122627,0.006690866429501395,149.45747468381614,0.2705235497173873,1.1506318838983403
 0.29449906028734524,0.10841212063766181,0.7261541595131548,2.550002462871036,-88.81592563772163,-89.00844151887037,0.006721966404779722,148.76599194083147,0.27984046987197625,1.1538277446784146
 0.30227741224916255,0.11421454244506275,0.7459705906706336,2.5476387870791384,-88.81367912016643,-89.00723348651447,0.006750040621575878,148.1472565962926,0.28881664988022443,1.1539950946306916
 0.3097823174533798,0.11995635525848328,0.7650746621281779,2.5455446721444264,-88.81144676136803,-89.00602545415855,0.0067748660013043005,147.60439539431178,0.2974532972302885,1.1508003252607208
 0.31703384396525164,0.12563807277422945,0.783520201773289,2.5436767851448914,-88.80922961994843,-89.00481742180264,0.006796214113643829,147.14074384331667,0.3057482332832242,1.1438882612310135
 0.32404963655360586,0.13126020868815513,0.8013543506485756,2.5420005866322577,-88.80702879158842,-89.00360938944672,0.006813862857675907,146.75963119414513,0.31369632614946713,1.1328859521069998
 0.3308453133361992,0.13682327669565986,0.8186186873622552,2.540488205369175,-88.8048454101735,-89.00240135709082,0.006827550314031562,146.4654164385814,0.3212897677115534,1.1173929845422197
 0.33743478242965175,0.14232779049168306,0.8353501197073117,2.5391169011903014,-88.80268064858032,-89.00119332473491,0.006837025150418849,146.2624428021503,0.32851836202405493,1.096991913913681
 0.34383049750794786,0.1477742637707037,0.8515815999219971,2.5378679343873602,-88.80053571987298,-88.999985292379,0.006842004693719879,146.15599444383272,0.33536964687805515,1.0712304676063726
 0.3500436661066592,0.15316321022673793,0.8673427045182578,2.5367257214828567,-88.79841187826344,-88.99877726002309,0.00684222360087154,146.15131839196593,0.34182906447918443,1.0396334009782062
 0.35608442094911713,0.1584951435533351,0.8826601088197233,2.535677196135486,-88.79631042016113,-88.99756922766719,0.006837383513154119,146.25477685669486,0.34788005093837004,1.0016937646030153
 0.36196196202759046,0.16377057744357856,0.89755797872088,2.534711319282907,-88.79423268509704,-88.99636119531127,0.006827155682995932,146.47388259955048,0.3535041331659558,0.9568767197874908
 0.36768467532937144,0.1689900255900816,0.9120582966962001,2.5338186993934264,-88.7921800569733,-88.99515316295536,0.006811227986014218,146.8164040395274,0.3586809290458953,0.9046051421671688
 0.37326023274384773,0.17415400168498923,0.9261811350915251,2.5329912949432987,-88.790153964958,-88.99394513059946,0.006789279256257184,147.29103963110265,0.36338824348569637,0.8442769197531783
