# PathPlanner CSV Format:
# timeSeconds, positionMeters, velocityMetersPerSecond, accelerationMetersPerSecondSq, headingDegrees, holonomicRotationDegrees, curvatureRadPerMeter, curveRadiusMeters, angularVelocityDegreesPerSec, angularAccelerationDegreesPerSecSq
 0.0,0.0,0,0.0,-94.0187659578916,-88.0,0.7544035905593589,1.3255504248840353,0.0,0.0
 0.04979359576129009,0.003099252723548458,0.06224199470161261,1.25,-94.0187659578916,-87.99709475602438,0.7544035905593589,1.3255504248840353,0.0,0.0
 0.07036133563776384,0.006188396940912568,0.15019366424881733,4.276195151991764,-93.88502185412844,-87.99418951204875,0.7564993918614688,1.3218781280700902,6.502615482615494,316.1560541736266
 0.0861050442726747,0.009267598311499084,0.1955829748880481,2.8830126174072057,-93.75134075245343,-87.99128426807313,0.7584458749341919,1.3184856468324349,8.491080772327818,126.30221606763008
 0.09934595031328856,0.012337022304562998,0.2318137432324541,2.7362756168856768,-93.61774416616502,-87.9883790240975,0.760240030075347,1.315374040355242,10.089686149770884,120.73232545715965
 0.1109840860451777,0.015396834194104259,0.2629125454480829,2.672146375679083,-93.4842538370377,-87.98547378012188,0.7618789089148924,1.3125445373258227,11.470078387343372,118.60939495576916
 0.12148151811294203,0.018447199053781324,0.29058200519764954,2.6358312748252444,-93.35089172667944,-87.98256853614625,0.7633596280734143,1.309998542264836,12.70426038457628,117.56989607228351
 0.1311130252930144,0.021488281751858292,0.3157431792574455,2.612381799585271,-93.21768000791351,-87.97966329217063,0.764679373219331,1.3077376414508994,13.830827956140237,116.9669035698618
 0.14005783647102904,0.024520246946181885,0.3389635772050542,2.595962897985139,-93.08464105571642,-87.976758048195,0.7658354037070679,1.3057636081584183,14.873310296822858,116.54604216184333
 0.14844058496030996,0.027543259079198742,0.3606230267891736,2.5838124109074085,-92.95179743781696,-87.97385280421938,0.7668250573303322,1.3040784080288874,15.847262752701775,116.18533672152023
 0.15635212150274472,0.0305574823730113,0.38099088307881795,2.5744501311974237,-92.81917190510924,-87.97094756024374,0.7676457527077648,1.3026842087937536,16.763561919527465,115.81810460091717
 0.16386111393368638,0.033563080824485676,0.4002665442955388,2.5670103404676894,-92.68678738173794,-87.96804231626813,0.7682949961872144,1.3015833826364331,17.630131417607235,115.40423113345682
 0.17102097695991553,0.036560218200404934,0.418602613617002,2.5609525286016788,-92.5546669547292,-87.9651370722925,0.7687703813921865,1.3007785213955223,18.45292661671405,114.91772902534888
 0.17787424329044305,0.039549058032684645,0.43611902531294877,2.5559216366538693,-92.42283386389792,-87.96223182831687,0.7690695996657185,1.3002724336453515,19.236534007739152,114.34071772967052
 0.18445544418887747,0.042529763613645105,0.452912109349151,2.551674731612748,-92.29131149058574,-87.95932658434126,0.7691904373925919,1.300068164380473,19.984555302585964,113.6603040069418
 0.19079307742441842,0.045502497991350144,0.4690606520166194,2.548039949189332,-92.16012334712468,-87.95642134036562,0.7691307849718669,1.3001689953634838,20.699863590298236,112.86678498542322
 0.19691099301972811,0.048467423965019255,0.4846300880551826,2.5448922588110774,-92.02929306527268,-87.95351609639,0.7688886367265093,1.300578461215699,21.3847804556704,111.95265032705781
 0.2028293944782376,0.05142470408051064,0.49967548437245657,2.542138518778859,-91.89884438501677,-87.95061085241437,0.7684620982243298,1.3013003534080345,22.041201694477547,110.91191488258033
 0.20856557841770312,0.054374500625888826,0.5142437161199266,2.5397079140435412,-91.7688011426147,-87.94770560843875,0.767849385892576,1.302338737742902,22.67068904596234,109.73974302913548
 0.21413449162070422,0.05731697562707179,0.5283750875480082,2.537545641843764,-91.63918725890954,-87.94480036446312,0.7670488346873673,1.3036979586933062,23.274538313027403,108.43215633880698
 0.21954915776394338,0.0602522908435711,0.542104561730809,2.5356086265713076,-91.51002672698942,-87.9418951204875,0.7660588966850727,1.3053826596456861,23.85383115104672,106.98588291406092
 0.22482100927507062,0.06318060776432671,0.5554627087987666,2.533862541416931,-91.3813436001596,-87.93898987651187,0.7648781496284355,1.307397786805366,24.409474841661304,105.398205818543
 0.2299601489017379,0.06610208760363681,0.5684764477210101,2.532279694195216,-91.25316197913206,-87.93608463253625,0.7635052948225942,1.3097486118054453,24.942233591471865,103.66691479757527
 0.23497555838374976,0.06901689129719371,0.5811696341068598,2.530837498189291,-91.1255059997059,-87.93317938856063,0.7619391642018991,1.3124407393436195,25.452753136911593,101.79020222989699
 0.23987526675041212,0.07192517949822669,0.593563531417702,2.5295173474344486,-90.99839981968849,-87.930274144585,0.7601787202049641,1.3154801277920194,25.94158070350476,99.76666568956351
 0.24466648740480504,0.07482711257375699,0.6056771926940188,2.5283037768694965,-90.87186760618255,-87.92736890060938,0.7582230600258969,1.318873103075822,26.40918100691298,97.59523452118579
 0.2493557307959346,0.07772285060096822,0.6175277727509249,2.527183826568554,-90.74593352229414,-87.92446365663375,0.7560714165622819,1.3226263790619366,26.85594953903383,95.27518511109574
 0.2539488977943393,0.08061255336369973,0.6291307857378459,2.5261465544254977,-90.62062171421839,-87.92155841265813,0.7537231631198835,1.3267470723079595,27.28222338078825,92.80608388557846
 0.25845135766571303,0.08349638034906288,0.6405003193250663,2.525182658374613,-90.49595629772196,-87.9186531686825,0.751177813046791,1.331242726597557,27.688290414099683,90.1878184174772
 0.26286801364059303,0.08637449074418875,0.6516492141328853,2.524284180436288,-90.37196134492787,-87.91574792470688,0.7484350221528029,1.3361213337179147,28.0743968965032,87.42054726460965
